Smiles,pIC50_calc,Molecule ChEMBL ID,Molecule Name,MW,LogP,HBD,HBA,QED
Br.NC(=O)c1cnc2[nH]ccc2c1NC1C2CC3CC1CC(O)(C3)C2,7.453289157418883,CHEMBL4242999,,407.3120000000003,2.5912000000000006,4.0,4.0,0.6279616258590248
BrC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,8.522878745280337,CHEMBL3918308,,334.2210000000002,3.274300000000001,1.0,4.0,0.7319215283230461
Brc1cc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)sc1Br,7.1487416512809245,CHEMBL3942304,,496.23200000000014,4.5717000000000025,1.0,6.0,0.451767287614036
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)cc1,8.214670164989233,CHEMBL3927649,,411.3070000000001,3.747700000000002,1.0,5.0,0.5580159824557198
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)o1,8.55284196865778,CHEMBL3979340,,401.26800000000014,3.340700000000002,1.0,6.0,0.5700850226752437
Brc1ccc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,8.337242168318426,CHEMBL3967749,,417.3360000000001,3.8092000000000015,1.0,6.0,0.5508769860642466
Brc1csc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)c1,8.0,CHEMBL3896566,,417.3360000000001,3.8092000000000015,1.0,6.0,0.5508769860642466
Brc1ncc(CN2CCC(c3nnn4cnc5[nH]ccc5c34)CC2)s1,8.638272163982407,CHEMBL3931093,,418.3240000000001,3.204200000000002,1.0,7.0,0.5532320784683272
C#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(S(=O)(=O)CC)C1,8.244125144327509,CHEMBL5427854,,370.43800000000016,1.2053,1.0,6.0,0.68100634615578
C#CCCOC(=O)N1CC[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,6.812479279163537,CHEMBL4106784,,424.4360000000001,2.4111800000000008,2.0,7.0,0.5416856869243329
C#CCCOC(=O)N1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)[C@H](C#N)C1,5.858236769724212,CHEMBL4113680,,424.4360000000001,2.4111800000000008,2.0,7.0,0.5416856869243329
C#CCN(C1CCOC1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.259637310505756,CHEMBL3942396,,311.389,1.2606999999999997,1.0,5.0,0.861669440586141
C#CCN(c1c(F)cc(C#N)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,CHEMBL3930290,,378.3860000000001,2.826280000000001,1.0,5.0,0.70714880643664
C#CCN(c1ccc(C#N)cc1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,CHEMBL3905748,,342.40600000000006,2.548080000000001,1.0,5.0,0.7379026568746148
C#CCN(c1ccc(C#N)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.259637310505756,CHEMBL3964413,,360.396,2.687180000000001,1.0,5.0,0.7245145076874488
C#CCN(c1ccc(C#N)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,10.259637310505756,CHEMBL3959909,,343.39400000000006,1.94308,1.0,6.0,0.7289420482609135
C#CCN(c1ccc(S(C)(=O)=O)cn1)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,9.259637310505756,CHEMBL3943618,,396.47600000000006,1.4748999999999992,1.0,7.0,0.6527462164306072
C#CCN1CCc2cc(Nc3ncc(C)c(-c4cnn(C(C)C)c4)n3)ccc2C1,6.417936637088292,CHEMBL4795467,,386.5030000000001,3.9643200000000034,1.0,6.0,0.6727073577889039
C#CCNC[C@H]1CC[C@H](c2nnn3cnc4[nH]ccc4c23)CC1,7.356547323513812,CHEMBL3959556,,308.3890000000002,2.1022,2.0,5.0,0.5718363277255005
C#CCSc1nsc(SCC#C)c1C#N,5.547753425479563,CHEMBL1597766,,250.373,2.465380000000001,0.0,5.0,0.6074070335490815
C#Cc1ccc(-c2nc(-c3ccc(F)cc3)c(-c3cc[nH]c(=O)c3)[nH]2)cc1,4.844663962534939,CHEMBL3314276,,355.372,4.219400000000003,2.0,2.0,0.540665845884043
C#Cc1ccc(N(C)[C@@H]2CCN(c3ncnc4[nH]ccc34)C2)nc1,10.259637310505756,CHEMBL3960416,,318.38400000000007,2.0493,1.0,5.0,0.7490374097292364
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,5.048455006504028,CHEMBL553,ERLOTINIB,393.4430000000002,3.405100000000002,1.0,7.0,0.417884097583987
C#Cc1nc(Nc2cccc(CC(N)=O)c2)nc2[nH]cnc12,6.657577319177793,CHEMBL4786783,,292.302,1.1056,3.0,5.0,0.6238435184604896
C(=C/c1ccco1)\CN1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,6.6020599913279625,CHEMBL3905358,,348.4100000000001,3.091400000000001,1.0,6.0,0.6132771252176095
C/C(=C\c1ccc(N(C)C)cc1)[N+](=O)[O-],5.456180194857343,CHEMBL1299997,,206.245,2.3901000000000003,0.0,3.0,0.563149889715397
C/C(Nc1cccc(-c2cnc3ccccc3n2)c1)=C1/CCOC1=O,5.0,CHEMBL3648437,,331.37500000000017,3.9296000000000015,1.0,5.0,0.5817945150457051
C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,3.3010299956639813,CHEMBL228043,,360.005,3.505680000000001,2.0,3.0,0.4817877336772012
C/C=C/C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,7.1938200260161125,CHEMBL3936839,,392.46300000000014,2.533080000000001,2.0,6.0,0.7327492673066189
C/C=C/C(=O)N1CCC[C@@H](Nc2ncnc3[nH]ccc23)C1,5.0,CHEMBL4095629,,285.3510000000001,1.9369,2.0,4.0,0.8451868932572881
C/C=C/C(=O)NCC(=O)Nc1cccc(-c2cc(Nc3cnn(CCOC)c3)ncn2)c1,6.052566278112949,CHEMBL4758931,,435.4880000000002,2.3609,3.0,8.0,0.4178221212633221
